name,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,TU7,TU8,TU9,TU10,TU11,TU12,TU13,TU14,TU15,TU16,TU17,TU18,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,TH7,TH8,TH9,TH10,TH11,TH12,TH13,TH14,TH15,TH16,TH17,TH18,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,SA7,SA8,SA9,SA10,SA11,SA12,SA13,SA14,SA15,SA16,SA17,SA18,wait_std,wait_25,wait_50,wait_75,wkday_wait_std,wkday_wait_25,wkday_wait_50,wkday_wait_75,mon_median,tue_median,wed_median,thu_median,fri_median,sat_median,7_wkday_hour_median_wait,8_wkday_hour_median_wait,9_wkday_hour_median_wait,10_wkday_hour_median_wait,11_wkday_hour_median_wait,12_wkday_hour_median_wait,13_wkday_hour_median_wait,14_wkday_hour_median_wait,15_wkday_hour_median_wait,16_wkday_hour_median_wait,17_wkday_hour_median_wait,18_wkday_hour_median_wait
Capitola,0.0,6.0,14.0,16.0,13.0,16.0,15.0,14.0,13.0,4.0,0.0,0.0,0.0,6.0,9.0,7.0,9.0,16.0,17.0,16.0,11.0,5.0,0.0,0.0,0.0,2.0,7.0,13.0,7.0,8.0,7.0,8.0,8.0,2.0,0.0,0.0,0.0,3.0,3.0,6.0,3.0,4.0,5.0,6.0,9.0,4.0,0.0,0.0,0.0,3.0,7.0,7.0,6.0,12.0,9.0,13.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.394292903721712,0.0,4.0,8.25,5.31544492984923,1.5,6.0,9.0,13.0,8.0,7.0,3.5,6.5,0.0,0.0,3.0,7.0,7.0,7.0,12.0,9.0,13.0,9.0,4.0,0.0,0.0
Carmichael,2.0,29.0,20.0,24.0,25.0,26.0,27.0,26.0,28.0,11.0,0.0,0.0,1.0,21.0,17.0,25.0,29.0,31.0,24.0,22.0,19.0,7.0,0.0,0.0,1.0,3.0,8.0,24.0,25.0,27.0,24.0,17.0,19.0,11.0,0.0,0.0,1.0,18.0,15.0,8.0,5.0,7.0,7.0,8.0,11.0,6.0,0.0,0.0,1.0,12.0,13.0,17.0,19.0,24.0,20.0,19.0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.583005244258363,0.0,9.5,20.25,10.170079079071915,2.75,14.0,24.0,24.5,20.0,14.0,7.0,15.0,0.0,1.0,18.0,15.0,24.0,25.0,26.0,24.0,19.0,19.0,11.0,0.0,0.0
Chico,0.0,9.0,28.0,30.0,22.0,26.0,8.0,11.0,25.0,16.0,0.0,0.0,0.0,11.0,15.0,21.0,12.0,11.0,8.0,16.0,22.0,4.0,0.0,0.0,0.0,3.0,13.0,27.0,24.0,11.0,10.0,15.0,17.0,13.0,0.0,0.0,0.0,7.0,4.0,8.0,6.0,9.0,8.0,13.0,17.0,4.0,0.0,0.0,0.0,7.0,11.0,19.0,15.0,10.0,9.0,17.0,21.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.733390226672011,0.0,8.0,15.0,8.587518863210066,2.25,9.5,16.0,13.5,11.0,12.0,6.5,9.5,0.0,0.0,7.0,13.0,21.0,15.0,11.0,8.0,15.0,21.0,6.0,0.0,0.0
Chula Vista,0.0,12.0,19.0,27.0,28.0,26.0,32.0,20.0,21.0,13.0,1.0,0.0,0.0,13.0,18.0,20.0,28.0,30.0,26.0,18.0,22.0,11.0,1.0,0.0,0.0,3.0,11.0,20.0,24.0,27.0,23.0,20.0,21.0,8.0,1.0,0.0,0.0,11.0,15.0,16.0,11.0,12.0,19.0,13.0,15.0,5.0,0.0,0.0,0.0,11.0,15.0,15.0,14.0,14.0,16.0,17.0,15.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.972575854340695,0.0,11.5,19.0,9.525819803977667,2.5,14.0,20.0,19.5,18.0,15.5,11.5,14.0,0.0,0.0,11.0,15.0,20.0,24.0,26.0,23.0,18.0,21.0,8.0,1.0,0.0
Clovis,0.0,15.0,45.0,66.0,71.0,78.0,56.0,41.0,26.0,10.0,0.0,0.0,0.0,17.0,55.0,84.0,65.0,56.0,60.0,42.0,31.0,11.0,1.0,0.0,0.0,6.0,23.0,58.0,72.0,65.0,41.0,30.0,36.0,16.0,0.0,0.0,0.0,12.0,30.0,45.0,48.0,37.0,32.0,26.0,28.0,7.0,1.0,0.0,0.0,12.0,32.0,36.0,31.0,32.0,31.0,23.0,31.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.330471244633046,0.0,16.5,38.0,24.072630214077748,4.75,29.0,42.75,33.5,36.5,26.5,27.0,27.0,0.0,0.0,12.0,32.0,58.0,65.0,56.0,41.0,30.0,31.0,10.0,0.0,0.0
Coalinga,0.0,7.0,15.0,21.0,24.0,35.0,48.0,43.0,30.0,18.0,0.0,0.0,0.0,5.0,7.0,9.0,9.0,24.0,28.0,14.0,4.0,2.0,0.0,0.0,0.0,1.0,6.0,19.0,19.0,9.0,16.0,14.0,5.0,3.0,0.0,0.0,0.0,5.0,10.0,9.0,7.0,13.0,12.0,9.0,11.0,6.0,0.0,0.0,0.0,3.0,6.0,6.0,6.0,13.0,11.0,13.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.424292982934297,0.0,5.5,12.25,10.694789903193344,0.75,7.0,13.25,19.5,6.0,5.5,8.0,6.0,0.0,0.0,5.0,7.0,9.0,9.0,13.0,16.0,14.0,11.0,4.0,0.0,0.0
Compton,0.0,11.0,28.0,34.0,49.0,55.0,49.0,59.0,69.0,58.0,14.0,0.0,0.0,14.0,34.0,49.0,50.0,46.0,40.0,42.0,47.0,41.0,8.0,0.0,0.0,6.0,10.0,18.0,31.0,44.0,30.0,21.0,16.0,6.0,1.0,0.0,0.0,7.0,13.0,16.0,18.0,22.0,12.0,20.0,22.0,13.0,0.0,0.0,0.0,9.0,23.0,37.0,51.0,42.0,33.0,36.0,38.0,25.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.66049875429425,0.0,14.0,36.25,19.213166389532578,7.75,20.5,40.25,41.5,40.5,13.0,13.0,29.0,0.0,0.0,9.0,23.0,34.0,49.0,44.0,33.0,36.0,38.0,25.0,8.0,0.0
Concord,0.0,20.0,49.0,67.0,77.0,83.0,86.0,86.0,76.0,26.0,0.0,0.0,0.0,19.0,48.0,59.0,72.0,75.0,67.0,70.0,70.0,48.0,0.0,0.0,0.0,6.0,27.0,58.0,75.0,78.0,89.0,83.0,85.0,79.0,4.0,0.0,0.0,14.0,30.0,28.0,28.0,20.0,15.0,11.0,11.0,9.0,1.0,0.0,0.0,16.0,39.0,49.0,49.0,43.0,44.0,47.0,52.0,53.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.500947026030442,0.0,20.0,58.25,30.912392154289275,8.25,34.5,67.75,58.0,53.5,66.5,12.5,43.5,0.0,0.0,16.0,39.0,58.0,72.0,75.0,67.0,70.0,70.0,48.0,1.0,0.0
Corte Madera,0.0,7.0,9.0,16.0,17.0,17.0,16.0,13.0,24.0,11.0,5.0,0.0,0.0,5.0,7.0,12.0,15.0,10.0,5.0,10.0,13.0,8.0,0.0,0.0,0.0,0.0,7.0,16.0,12.0,13.0,9.0,11.0,13.0,7.0,0.0,0.0,0.0,6.0,7.0,7.0,7.0,8.0,6.0,8.0,3.0,2.0,0.0,0.0,0.0,3.0,6.0,4.0,4.0,13.0,8.0,16.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.996331037850809,0.0,6.0,10.25,5.861754813323858,1.5,7.0,12.0,12.0,7.5,8.0,6.0,5.0,0.0,0.0,5.0,7.0,12.0,12.0,13.0,8.0,11.0,13.0,7.0,0.0,0.0
Costa Mesa,0.0,21.0,44.0,54.0,39.0,24.0,22.0,27.0,24.0,13.0,1.0,0.0,0.0,23.0,30.0,25.0,13.0,22.0,17.0,9.0,15.0,13.0,5.0,0.0,0.0,7.0,17.0,36.0,36.0,32.0,26.0,26.0,31.0,21.0,8.0,0.0,0.0,11.0,4.0,8.0,14.0,8.0,12.0,9.0,10.0,8.0,7.0,0.0,0.0,14.0,17.0,14.0,11.0,14.0,23.0,30.0,26.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.855979652774458,0.0,10.5,22.25,12.590508486745174,6.5,13.5,24.0,23.0,14.0,23.5,8.0,14.0,0.0,0.0,14.0,17.0,25.0,14.0,22.0,22.0,26.0,24.0,13.0,5.0,0.0
